NAME,YEAR,AUTHOR,MUSEUM,STYLE,AMOUNT,SEGURO_TOTAL
Reflections Sunset Harmony 2493,1879,Edvard Munch,Museum of Modern Art,Impressionism,4468345,0.226597383
Awakening Euphoria Light 2482,1736,Mark Rothko,Louvre Museum,Cubism,9429114,0.301797984
Balance Tranquility Memories 2660,1554,Edvard Munch,Vatican Museums,Cubism,14487391,0.339582625
Ocean Passion Whispers 1587,2004,Mark Rothko,The British Museum,Expressionism,7696584,0.976592546
Fantasy Chaos Passion 2133,1756,Salvador Dali,State Hermitage Museum,Minimalism,3043498,0.928172307
Whispers Awakening Harmony 1513,1514,Claude Monet,Metropolitan Museum of Art,Baroque,13872477,0.477601115
Balance Colors Memories 1982,1808,Diego Rivera,Prado Museum,Expressionism,9180812,0.251264795
Balance Forest Awakening 1995,1517,Alfred Sisley,Prado Museum,Baroque,10051740,0.294100968
Forest Awakening Light 1973,1608,Jackson Pollock,National Gallery,Baroque,6250860,0.429917344
Reflections Love Rhythm 2483,1734,Paul Cezanne,State Hermitage Museum,Realism,1389962,0.672474057
Abstract Dream Forest 2056,1844,Peter Paul Rubens,State Hermitage Museum,Renaissance,7099978,0.665277045
Whispers Serenity Passion 2347,1733,Pablo Picasso,Museum of Modern Art,Surrealism,5091491,0.769839376
Euphoria Tranquility Memories 2203,1942,Rembrandt van Rijn,Tate Modern,Baroque,11481406,0.359627405
Tranquility Ocean Serenity 1565,1528,Caravaggio,The British Museum,Cubism,6036278,0.953273614
Nature Dream Journey 2510,1723,Jasper Johns,Metropolitan Museum of Art,Expressionism,9924165,0.700678902
Light Tranquility Beauty 2202,1970,Banksy,Museum of Modern Art,Abstract,4934130,0.293121457
Beauty Serenity Time 2574,1897,Alfred Sisley,Prado Museum,Expressionism,12687302,0.979295141
Dream Colors Passion 2043,1662,Pablo Picasso,Metropolitan Museum of Art,Expressionism,11948646,0.076031867
Time Forest Abstract 1784,1690,Vincent van Gogh,Tate Modern,Romanticism,13750487,0.571701882
Rhythm Time Passion 2498,1940,Claude Monet,Prado Museum,Baroque,13893324,0.293590988
Abstract Journey Abstract 1877,1525,Alfred Sisley,The British Museum,Romanticism,14034810,0.354421323
Passion Rhythm Balance 1954,1549,Jasper Johns,Metropolitan Museum of Art,Cubism,3883632,0.954992065
Nature Dream Harmony 2022,1518,Salvador Dali,Vatican Museums,Impressionism,10285843,0.249067096
Time Journey Colors 2204,1873,Henri Matisse,Metropolitan Museum of Art,Expressionism,11008902,0.444220314
Balance Colors Memories 1565,1773,Mark Rothko,Louvre Museum,Baroque,12481092,0.416457919
Dream Chaos Love 1630,1811,Jasper Johns,National Gallery,Romanticism,10277416,0.023460405
Abstract Chaos Time 2208,1606,Mark Rothko,Tate Modern,Romanticism,13203833,0.158010275
Passion Time Balance 2022,1909,Henri Matisse,State Hermitage Museum,Abstract,13394765,0.761415965
Memories Light Abstract 1629,1921,Alfred Sisley,Vatican Museums,Expressionism,3013126,0.374300107
Journey Forest Awakening 2358,1728,Salvador Dali,Tate Modern,Impressionism,9849338,0.279323328
Passion Beauty Time 2698,1752,Salvador Dali,State Hermitage Museum,Realism,13417009,0.801957165
Awakening Journey Euphoria 2128,1665,Salvador Dali,Tate Modern,Cubism,9670929,0.590746894
Rhythm Awakening Memories 1924,1718,Gustav Klimt,Prado Museum,Expressionism,2762827,0.719098957
Time Sunset Fantasy 1559,1741,Georgia O'Keeffe,State Hermitage Museum,Minimalism,13331775,0.002491538
Reflections Journey Tranquility 2438,1660,Jackson Pollock,State Hermitage Museum,Cubism,3550114,0.173349203
Ocean Nature Rhythm 1922,2016,Salvador Dali,The British Museum,Renaissance,5396301,0.502394939
Colors Fantasy Dream 1642,1590,Edvard Munch,Prado Museum,Minimalism,1497112,0.37629475
Forest Serenity Light 2399,1768,Pablo Picasso,National Gallery,Expressionism,7415021,0.607183161
Chaos Fantasy Memories 2509,1532,Pablo Picasso,Louvre Museum,Renaissance,2140203,0.51369826
Tranquility Abstract Chaos 1893,1713,Jasper Johns,The British Museum,Expressionism,8801440,0.412695502
Rhythm Euphoria Journey 1773,1994,Rembrandt van Rijn,Museum of Modern Art,Romanticism,3401691,0.695539808
Reflections Love Abstract 2381,1990,Paul Cezanne,State Hermitage Museum,Renaissance,6284388,0.635538612
Abstract Fantasy Journey 1808,1855,Michelangelo Buonarroti,Tate Modern,Minimalism,3882118,0.685835304
Beauty Harmony Time 2430,1873,Edouard Manet,Tate Modern,Minimalism,6360589,0.393080489
Serenity Time Love 2024,1722,Edouard Manet,Museum of Modern Art,Abstract,9235338,0.481193763
Memories Love Sunset 1868,2002,Claude Monet,State Hermitage Museum,Realism,7952212,0.297057867
Journey Rhythm Tranquility 2446,1939,Georgia O'Keeffe,National Gallery,Renaissance,12364675,0.744173717
Tranquility Colors Beauty 1682,1835,Jackson Pollock,Metropolitan Museum of Art,Renaissance,11544682,0.736109481
Beauty Fantasy Dream 2123,1609,Georgia O'Keeffe,Metropolitan Museum of Art,Expressionism,1478155,0.934431009
Passion Euphoria Nature 2251,1608,Edouard Manet,Uffizi Gallery,Baroque,6646697,0.671117473
Balance Reflections Serenity 1993,1746,Alfred Sisley,Vatican Museums,Cubism,13811014,0.708952785
Memories Awakening Ocean 2142,1827,Mark Rothko,Metropolitan Museum of Art,Surrealism,4009954,0.270159946
Love Tranquility Awakening 2682,1704,Edvard Munch,Museum of Modern Art,Expressionism,3601463,0.836729141
Euphoria Ocean Awakening 1625,2014,Vincent van Gogh,Vatican Museums,Abstract,4195604,0.928971879
Love Time Rhythm 2501,1911,Diego Rivera,The British Museum,Abstract,12592681,0.635886244
Beauty Tranquility Chaos 1503,1893,Leonardo da Vinci,Uffizi Gallery,Cubism,1148602,0.877930751
Colors Colors Rhythm 1936,1905,Caravaggio,Museum of Modern Art,Minimalism,9521271,0.445574219
Beauty Memories Love 1942,1759,Edouard Manet,The British Museum,Abstract,1283023,0.065633814
Abstract Reflections Journey 2187,1770,Claude Monet,Metropolitan Museum of Art,Baroque,10642156,0.66563654
Awakening Time Serenity 2218,1552,Jean-Michel Basquiat,Metropolitan Museum of Art,Surrealism,6963482,0.391050614
Journey Forest Sunset 2646,1866,Rembrandt van Rijn,State Hermitage Museum,Cubism,14424053,0.606944603
Nature Tranquility Light 2577,1685,Jean-Michel Basquiat,Louvre Museum,Realism,9534035,0.422395813
Tranquility Whispers Beauty 1590,1590,Salvador Dali,Museum of Modern Art,Cubism,13648491,0.593438416
Passion Whispers Euphoria 1934,1859,Peter Paul Rubens,The British Museum,Minimalism,2162172,0.587388393
Nature Serenity Time 2229,1667,Claude Monet,Metropolitan Museum of Art,Minimalism,4017720,0.206880394
Beauty Time Colors 1594,1899,Diego Rivera,Vatican Museums,Minimalism,7159945,0.703224247
Chaos Forest Reflections 1550,1696,Pablo Picasso,Metropolitan Museum of Art,Surrealism,4602703,0.297210871
Forest Awakening Light 2614,1575,Banksy,Prado Museum,Impressionism,8831432,0.302961335
Beauty Sunset Abstract 2337,1914,Alfred Sisley,Prado Museum,Abstract,12446549,0.165208418
Whispers Nature Abstract 2515,1605,Rembrandt van Rijn,Tate Modern,Cubism,2583237,0.617710026
Serenity Whispers Light 1917,1975,Lucian Freud,Uffizi Gallery,Realism,13300139,0.430685524
Colors Passion Tranquility 1595,1997,Georgia O'Keeffe,Prado Museum,Romanticism,7518486,0.393801693
Memories Colors Forest 2225,1534,Edvard Munch,State Hermitage Museum,Renaissance,4307414,0.721032046
Passion Passion Fantasy 1693,1943,Vincent van Gogh,Uffizi Gallery,Minimalism,5757186,0.160588379
Passion Nature Fantasy 1853,1909,Edouard Manet,State Hermitage Museum,Renaissance,14725860,0.513932519
Rhythm Whispers Chaos 2477,1872,Leonardo da Vinci,Vatican Museums,Impressionism,5972013,0.149985648
Memories Time Abstract 2100,1807,Peter Paul Rubens,The British Museum,Realism,14650953,0.335888828
Rhythm Dream Time 2579,1847,Rembrandt van Rijn,National Gallery,Abstract,5741520,0.23077889
Whispers Whispers Beauty 1623,1567,Jean-Michel Basquiat,Louvre Museum,Romanticism,5229124,0.72178784
Awakening Fantasy Whispers 2287,1960,Edvard Munch,Louvre Museum,Realism,8762829,0.502293863
Light Memories Forest 2029,1634,Gustav Klimt,Metropolitan Museum of Art,Romanticism,13387044,0.888916497
Reflections Awakening Time 1804,1629,Jean-Michel Basquiat,National Gallery,Realism,1848827,0.274582446
Serenity Reflections Serenity 1515,1718,Henri Matisse,Metropolitan Museum of Art,Abstract,4195570,0.855692349
Awakening Whispers Ocean 1985,1747,Andy Warhol,The British Museum,Realism,4869245,0.193692861
Colors Abstract Whispers 2144,1893,Alfred Sisley,Uffizi Gallery,Romanticism,11963598,0.646652338
Balance Passion Time 2283,1705,Pablo Picasso,Louvre Museum,Expressionism,1664134,0.675027667
Harmony Ocean Harmony 1867,1609,Vincent van Gogh,The British Museum,Baroque,1291227,0.334800219
Harmony Passion Journey 1653,1529,Claude Monet,Louvre Museum,Surrealism,6688353,0.092643144
Chaos Dream Awakening 2089,1908,Pablo Picasso,Museum of Modern Art,Baroque,5781504,0.434502255
Dream Fantasy Balance 2323,1872,Edouard Manet,Museum of Modern Art,Baroque,5310864,0.525132696
Forest Reflections Harmony 1520,1731,Jackson Pollock,The British Museum,Realism,8842313,0.220322443
Time Awakening Tranquility 1804,1711,Leonardo da Vinci,The British Museum,Baroque,8529716,0.022418468
Euphoria Rhythm Euphoria 1512,1668,Georgia O'Keeffe,Museum of Modern Art,Surrealism,5309221,0.06458179
Serenity Serenity Dream 1738,1792,Jean-Michel Basquiat,State Hermitage Museum,Renaissance,3242928,0.067867118
Ocean Awakening Euphoria 2046,1634,Caravaggio,National Gallery,Impressionism,9459119,0.270632944
Whispers Whispers Time 1536,1677,Salvador Dali,The British Museum,Cubism,11072781,0.693523039
Chaos Euphoria Forest 2205,1531,Paul Cezanne,The British Museum,Minimalism,11728586,0.099853135
Serenity Awakening Abstract 1954,1865,Lucian Freud,Vatican Museums,Realism,5063016,0.308855078
Nature Rhythm Sunset 2084,1864,Paul Cezanne,Prado Museum,Expressionism,6025185,0.53299176
Serenity Harmony Ocean 2480,1749,Edouard Manet,Metropolitan Museum of Art,Cubism,13072339,0.929982222
Whispers Love Light 2351,1613,Alfred Sisley,Museum of Modern Art,Impressionism,12636534,0.773285199
Nature Reflections Sunset 2342,1652,Edouard Manet,Prado Museum,Minimalism,8734757,0.399575764
Balance Serenity Passion 2064,1998,Rembrandt van Rijn,Uffizi Gallery,Abstract,13970552,0.445986635
Balance Whispers Passion 2372,1517,Mark Rothko,National Gallery,Expressionism,10431263,0.937278798
Beauty Whispers Light 2407,1990,Diego Rivera,Louvre Museum,Baroque,5463051,0.641360434
Awakening Memories Chaos 2240,1691,Salvador Dali,Louvre Museum,Expressionism,1978189,0.466955699
Sunset Harmony Rhythm 1636,1804,Vincent van Gogh,Metropolitan Museum of Art,Baroque,9958879,0.379428678
Time Euphoria Love 1771,1867,Mark Rothko,State Hermitage Museum,Romanticism,3188451,0.799362143
Love Journey Time 2495,1788,Gustav Klimt,Museum of Modern Art,Surrealism,14428186,0.322777234
Balance Abstract Tranquility 1551,1953,Rembrandt van Rijn,Uffizi Gallery,Realism,8121750,0.881012192
Time Love Awakening 2195,1841,Vincent van Gogh,Vatican Museums,Expressionism,2435765,0.668339373
